Parsed result for candidate PRECINCTS COUNTED - TOTAL (000), no party, in race PRECINCTS COUNTED - TOTAL (0000) with 0 votes
Parsed result for candidate VOTERS (001), no party, in race REGISTERED VOTERS - TOTAL (0001) with 1514912 votes
Parsed result for candidate BALLOTS CAST (001), no party, in race BALLOTS CAST - TOTAL (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (002), NON party, in race BALLOTS CAST - Nonpartisan (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (003), DEM party, in race BALLOTS CAST - Democratic (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (004), REP party, in race BALLOTS CAST - Republican (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (005), GRN party, in race BALLOTS CAST - Green (0002) with 0 votes
Parsed result for candidate Hillary Clinton (001), DEM party, in race President, U.S. (0010) with 0 votes
Parsed result for candidate Willie L. Wilson (002), DEM party, in race President, U.S. (0010) with 0 votes
Parsed result for candidate Martin J. O'Malley (003), DEM party, in race President, U.S. (0010) with 0 votes
Parsed result for candidate Roque ''Rocky'' De La Fuente (004), DEM party, in race President, U.S. (0010) with 0 votes
Parsed result for candidate Larry (Lawrence) Cohen (005), DEM party, in race President, U.S. (0010) with 0 votes
Parsed result for candidate Bernie Sanders (006), DEM party, in race President, U.S. (0010) with 0 votes
Parsed result for candidate Andrea Zopp (001), DEM party, in race Senator, U.S. (0011) with 0 votes
Parsed result for candidate Tammy Duckworth (002), DEM party, in race Senator, U.S. (0011) with 0 votes
Parsed result for candidate Napoleon Harris (003), DEM party, in race Senator, U.S. (0011) with 0 votes
Parsed result for candidate Susana Mendoza (001), DEM party, in race Comptroller, State of Illinois (0012) with 0 votes
Parsed result for candidate Bobby L. Rush (001), DEM party, in race U.S. Representative, 1st District (0013) with 0 votes
Parsed result for candidate O. Patrick Brutus (002), DEM party, in race U.S. Representative, 1st District (0013) with 0 votes
Parsed result for candidate Howard B. Brookins, Jr. (003), DEM party, in race U.S. Representative, 1st District (0013) with 0 votes
Parsed result for candidate Marcus Lewis (001), DEM party, in race U.S. Representative, 2nd District (0014) with 0 votes
Parsed result for candidate Robin Kelly (002), DEM party, in race U.S. Representative, 2nd District (0014) with 0 votes
Parsed result for candidate Dorian C.L. Myrickes (003), DEM party, in race U.S. Representative, 2nd District (0014) with 0 votes
Parsed result for candidate Charles Rayburn (004), DEM party, in race U.S. Representative, 2nd District (0014) with 0 votes
Parsed result for candidate Daniel William Lipinski (001), DEM party, in race U.S. Representative, 3rd District (0015) with 0 votes
Parsed result for candidate Luis V. Gutierrez (001), DEM party, in race U.S. Representative, 4th District (0016) with 0 votes
Parsed result for candidate Javier Salas (002), DEM party, in race U.S. Representative, 4th District (0016) with 0 votes
Parsed result for candidate Mike Quigley (001), DEM party, in race U.S. Representative, 5th District (0017) with 0 votes
Parsed result for candidate Danny K. Davis (001), DEM party, in race U.S. Representative, 7th District (0018) with 0 votes
Parsed result for candidate Thomas Day (002), DEM party, in race U.S. Representative, 7th District (0018) with 0 votes
Parsed result for candidate Janice D. Schakowsky (001), DEM party, in race U.S. Representative, 9th District (0019) with 0 votes
Parsed result for candidate Jacqueline Collins (Clinton) (001), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate David Moore (Clinton) (002), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Barbara Flynn Currie (Clinton) (003), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Kwame Raoul (Clinton) (004), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Mary E. Flowers (Clinton) (005), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Roderick T. Sawyer (Clinton) (006), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Toni Preckwinkle (Clinton) (007), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Kurt Summers (Clinton) (008), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Carolyn Rush (Clinton) (009), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Rochelle Y. O'Neal (O'Malley) (010), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Hedy Gist-Ellison (O'Malley) (011), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Joseph Wheeler (O'Malley) (012), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Tyler Kissinger (Sanders) (013), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Adriana Sanchez (Sanders) (014), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate William K. Crosby (Sanders) (015), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Brendan Houlihan (Sanders) (016), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Tim Gaffney (Sanders) (017), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Patricia Guinn (Sanders) (018), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Vernita Farmer (Sanders) (019), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Brenda J. Malone (Sanders) (020), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Theresa McCulley (Sanders) (021), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Kenzo Emiliano Esquivel (Sanders) (022), DEM party, in race Delegate, National Convention 1st DEM (0020) with 0 votes
Parsed result for candidate Timothy ''Tim'' Bradford (Clinton) (001), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Lisa Dugan (Clinton) (002), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Jaylin Davon McClinton (Clinton) (003), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Leslie Hairston (Clinton) (004), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Al Riley (Clinton) (005), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Toi W. Hutchinson (Clinton) (006), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
Parsed result for candidate Frank M. Zuccarelli (Clinton) (007), DEM party, in race Delegate, National Convention 2nd DEM (0021) with 0 votes
